Symbol,Name,Sector,Industry,MarketCap,Country,Exchange
ORCL,Oracle Corporation,Technology,Software - Infrastructure,359698595840,United States,NYQ
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,13127920640,United States,NYQ
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,34043910144,United States,NYQ
EFX,Equifax Inc.,Industrials,Consulting Services,26216525824,United States,NYQ
FSLR,"First Solar, Inc.",Technology,Solar,13777809408,United States,NMS
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,201047752704,United States,NMS
SRE,Sempra,Utilities,Utilities - Diversified,42948026368,United States,NYQ
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,35708334080,United States,NMS
FI,"Fiserv, Inc.",Technology,Information Technology Services,110932803584,United States,NYQ
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,34342592512,United States,NMS
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,9235369984,United States,NMS
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,19479805952,United States,NMS
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,15012757504,United States,NYQ
FOX,Fox Corporation,Communication Services,Entertainment,21607835648,United States,NMS
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,23550390272,United States,NYQ
STT,State Street Corporation,Financial Services,Asset Management,22005063680,United States,NYQ
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8176311808,United States,NMS
BLK,"BlackRock, Inc.",Financial Services,Asset Management,127714213888,United States,NYQ
FAST,Fastenal Company,Industrials,Industrial Distribution,42676224000,United States,NMS
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,44937293824,United States,NYQ
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,165206360064,United States,NYQ
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,47706091520,United States,NMS
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,44398858240,United States,NYQ
WDC,Western Digital Corporation,Technology,Computer Hardware,10622544896,United States,NMS
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,11311801344,United States,NYQ
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,140580978688,United States,NMS
K,Kellanova,Consumer Defensive,Packaged Foods,28390563840,United States,NYQ
USB,U.S. Bancorp,Financial Services,Banks - Regional,57381511168,United States,NYQ
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,17070411776,United States,NYQ
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,28711469056,United States,NYQ
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,54926884864,United States,NYQ
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,46088876032,United States,NYQ
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,67943477248,United States,NYQ
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,84500430848,United States,NYQ
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,33160599552,United States,NYQ
AAPL,Apple Inc.,Technology,Consumer Electronics,2829863354368,United States,NMS
HON,Honeywell International Inc.,Industrials,Conglomerates,124128026624,United States,NMS
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,37657411584,United States,NYQ
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,101678694400,United States,NMS
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,12875123712,United States,NYQ
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,33999902720,United States,NMS
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,30132703232,United States,NYQ
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,15761726464,United States,NMS
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,35225837568,United States,NYQ
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,10675653632,United States,NMS
MS,Morgan Stanley,Financial Services,Capital Markets,161011826688,United States,NYQ
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,21950453760,United States,NYQ
TT,Trane Technologies plc,Industrials,Building Products & Equipment,71349207040,Ireland,NYQ
MCK,McKesson Corporation,Healthcare,Medical Distribution,85611438080,United States,NYQ
PARA,Paramount Global,Communication Services,Entertainment,7890817536,United States,NMS
ADBE,Adobe Inc.,Technology,Software - Application,148773634048,United States,NMS
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,22430621696,United States,NMS
SO,The Southern Company,Utilities,Utilities - Regulated Electric,97549393920,United States,NYQ
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,22504572928,United States,NYQ
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,25337122816,United States,NYQ
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,18753400832,United States,NYQ
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,59534569472,United States,NYQ
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,39977254912,United States,NMS
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,18877698048,United States,NMS
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,23461584896,United States,NYQ
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,37717057536,United States,NYQ
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,22522503168,United States,BTS
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,19809912832,United States,NMS
KEY,KeyCorp,Financial Services,Banks - Regional,14759348224,United States,NYQ
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,13326035968,Switzerland,NYQ
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,13723619328,United States,NYQ
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,16511082496,United States,NYQ
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",6612337664,United States,NYQ
AMT,American Tower Corporation,Real Estate,REIT - Specialty,103065542656,United States,NYQ
ADSK,"Autodesk, Inc.",Technology,Software - Application,52293627904,United States,NMS
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,19060795392,United States,NYQ
NTAP,"NetApp, Inc.",Technology,Computer Hardware,15705288704,United States,NMS
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,50506936320,United States,NYQ
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,12583600128,United States,NMS
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,14750826496,United States,NMS
WM,"Waste Management, Inc.",Industrials,Waste Management,90605166592,United States,NYQ
SYF,Synchrony Financial,Financial Services,Credit Services,17031138304,United States,NYQ
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,15222259712,United States,NMS
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,1812206583808,United States,NMS
NTRS,Northern Trust Corporation,Financial Services,Asset Management,16769542144,United States,NMS
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,48041918464,United States,NMS
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,43959189504,United States,NYQ
TEL,TE Connectivity plc,Technology,Electronic Components,36399063040,Ireland,NYQ
DIS,The Walt Disney Company,Communication Services,Entertainment,151004692480,United States,NYQ
MKTX,MarketAxess Holdings Inc.,Financial Services,Capital Markets,8026390016,United States,NMS
WDAY,"Workday, Inc.",Technology,Software - Application,57759240192,United States,NMS
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,58615750656,United States,NYQ
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,27856627712,United States,NMS
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,216975933440,United States,NMS
NUE,Nucor Corporation,Basic Materials,Steel,23796338688,United States,NYQ
MDT,Medtronic plc,Healthcare,Medical Devices,106296918016,Ireland,NYQ
UBER,"Uber Technologies, Inc.",Technology,Software - Application,135137230848,United States,NYQ
COF,Capital One Financial Corporation,Financial Services,Credit Services,57662140416,United States,NYQ
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,8897362944,United States,NYQ
APA,APA Corporation,Energy,Oil & Gas E&P,5526491648,United States,NMS
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,20272015360,United States,NYQ
TGT,Target Corporation,Consumer Defensive,Discount Stores,43607736320,United States,NYQ
CI,The Cigna Group,Healthcare,Healthcare Plans,87405215744,United States,NYQ
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,480269533184,United States,NYQ
BX,Blackstone Inc.,Financial Services,Asset Management,152381243392,United States,NYQ
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,49445904384,United States,NYQ
BG,Bunge Global SA,Consumer Defensive,Farm Products,9806456832,United States,NYQ
C,Citigroup Inc.,Financial Services,Banks - Diversified,109409959936,United States,NYQ
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,32319590400,United States,NMS
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,81643405312,United States,NYQ
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,75851472896,United States,NMS
BXP,"BXP, Inc.",Real Estate,REIT - Office,10662377472,United States,NYQ
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,12275160064,United States,NYQ
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,33359196160,United States,NYQ
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,300948652032,United States,NYQ
GEV,GE Vernova Inc.,Utilities,Utilities - Renewable,74207969280,United States,NYQ
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,7432220160,United States,NYQ
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,16211125248,United States,NYQ
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,45782634496,United States,NMS
NWSA,News Corporation,Communication Services,Entertainment,14515104768,United States,NMS
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,16904326144,United States,NYQ
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,40451710976,United States,NYQ
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,283277131776,United States,NMS
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,38240215040,United States,NYQ
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,29365610496,United States,NYQ
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,18279653376,United States,NMS
PAYX,"Paychex, Inc.",Technology,Software - Application,51622576128,United States,NMS
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,17515919360,United States,NYQ
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,37929893888,United States,NYQ
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,9708103680,United States,NMS
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,112464257024,Switzerland,NYQ
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,11566480384,United States,NMS
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,72392728576,United States,NYQ
NEM,Newmont Corporation,Basic Materials,Gold,49802350592,United States,NYQ
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,14767082496,United States,NYQ
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,41890586624,United States,NYQ
FICO,Fair Isaac Corporation,Technology,Software - Application,40916758528,United States,NYQ
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,9717349376,United States,NYQ
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,103139385344,United States,NMS
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,18965002240,United States,NYQ
SYK,Stryker Corporation,Healthcare,Medical Devices,131988045824,United States,NYQ
COR,"Cencora, Inc.",Healthcare,Medical Distribution,53927763968,United States,NYQ
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,16925979648,United States,NYQ
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,91703066624,United States,NMS
UDR,"UDR, Inc.",Real Estate,REIT - Residential,15241106432,United States,NYQ
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,252258779136,United States,NYQ
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,10848727040,United States,NYQ
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,7197329408,United States,NMS
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,12736017408,United States,NYQ
PODD,Insulet Corporation,Healthcare,Medical Devices,17223651328,United States,NMS
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,14980583424,United States,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,81653227520,United States,NYQ
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,50248683520,United States,NYQ
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,161789820928,United States,NMS
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,27281219584,United States,NYQ
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,18832500736,United States,NYQ
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,20447934464,United States,NYQ
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,22721449984,United States,NYQ
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,32642496512,United States,NYQ
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,53328027648,United States,NYQ
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,28673595392,United States,NYQ
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,16091078656,United States,NYQ
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,91056955392,United States,NYQ
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,17498755072,United States,NYQ
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,53563482112,United States,NMS
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,67439419392,United States,NYQ
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,125407428608,United States,NYQ
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,38098804736,United States,NYQ
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,16800688128,United States,NYQ
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,20800358400,United States,NYQ
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,92411232256,United States,NYQ
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,32965087232,United States,NYQ
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,69424324608,United States,NYQ
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,8831781888,United States,NYQ
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,40784629760,Netherlands,NMS
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,7256624128,United States,NYQ
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,50344542208,United States,NYQ
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,18699343872,United States,NYQ
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,14127209472,Singapore,NMS
RSG,"Republic Services, Inc.",Industrials,Waste Management,73518129152,United States,NYQ
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,20618043392,United States,NMS
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,32920922112,United States,NYQ
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,66174574592,United States,NYQ
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,146323046400,United States,NYQ
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,42677989376,United States,NYQ
CTAS,Cintas Corporation,Industrials,Specialty Business Services,76852781056,United States,NMS
POOL,Pool Corporation,Industrials,Industrial Distribution,11883118592,United States,NMS
AXP,American Express Company,Financial Services,Credit Services,163835379712,United States,NYQ
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,30688790528,United Kingdom,NMS
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,39006404608,United States,NMS
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,24062083072,United States,NYQ
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,130273206272,United States,NYQ
IBM,International Business Machines Corporation,Technology,Information Technology Services,210934005760,United States,NYQ
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,11394741248,United States,NYQ
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,14528858112,United States,NMS
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,45496233984,United States,NYQ
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,16453149696,United States,NMS
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,67098181632,United States,NYQ
MET,"MetLife, Inc.",Financial Services,Insurance - Life,47052419072,United States,NYQ
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,30624436224,United States,NYQ
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,70281928704,United States,NYQ
AES,The AES Corporation,Utilities,Utilities - Diversified,7674292736,United States,NYQ
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,45738127360,United States,NYQ
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,137739599872,United States,NYQ
MA,Mastercard Incorporated,Financial Services,Credit Services,446527242240,United States,NYQ
INTC,Intel Corporation,Technology,Semiconductors,86557712384,United States,NMS
EQT,EQT Corporation,Energy,Oil & Gas E&P,27548006400,United States,NYQ
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,61113954304,United States,NYQ
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,21415563264,United States,NYQ
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,35068293120,United States,NMS
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,93259849728,United States,NMS
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,25796816896,United States,NYQ
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,19194091520,United States,NYQ
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,8325843968,United States,NYQ
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,11052443648,United States,NMS
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,12775202816,United States,NYQ
HPQ,HP Inc.,Technology,Computer Hardware,21314514944,United States,NYQ
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,124976971776,United States,NYQ
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,14084459520,United States,NYQ
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,9498593280,United States,NYQ
DOW,Dow Inc.,Basic Materials,Chemicals,19902543872,United States,NYQ
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,14655637504,United States,NMS
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,662904504320,United States,NYQ
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,59089539072,United States,NMS
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,113466269696,United States,NYQ
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,13737502720,United States,NMS
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,30628429824,United States,NMS
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,64094031872,United States,NYQ
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,22355189760,United States,NYQ
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,25325817856,United States,NYQ
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,68542865408,United States,NMS
DFS,Discover Financial Services,Financial Services,Credit Services,36995997696,United States,NYQ
NVDA,NVIDIA Corporation,Technology,Semiconductors,2301163732992,United States,NMS
COP,ConocoPhillips,Energy,Oil & Gas E&P,109085229056,United States,NYQ
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,61999767552,United States,NYQ
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,49402830848,United States,NYQ
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,83516407808,United States,NYQ
TXT,Textron Inc.,Industrials,Aerospace & Defense,11028026368,United States,NYQ
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,23241752576,United States,NYQ
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,14269451264,United States,NYQ
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,25680009216,United States,NYQ
